Player,Nation,Pos,Squad,Age,Born,90s, Touches Att 3rd,Touches Att Pen box,Dribbles Attempted,Dribbles Succ%,Carries into the 1/3,SCA90,GCA90,Goals,Expected goals (xG),Non penalty Expected Goals (npxG),Progressive Distance,Assist,xA,Key passes
Marius Wolf,de GER,"DF,MF",Köln,25,1995,28.3,510,80,83,54.2,41,1.94,0.28,2,3.5,3.5,6765,2,3.2,22
Nick Woltemade,de GER,"MF,FW",Werder Bremen,18,2002,1.6,35,9,7,28.6,3,3.06,0.61,0,0.6,0.6,115,1,0.3,3
Jeong Woo-yeong,kr KOR,"FW,MF",Freiburg,20,1999,9.1,222,38,19,57.9,15,2.95,0.11,4,1.7,1.7,1441,0,1.5,16
Joscha Wosz,de GER,"DF,FW",RB Leipzig,18,2002,0.4,6,0,1,0,1,2.65,0,0,0,0,59,0,0,0
Reinhold Yabo,de GER,"MF,FW",Arminia,28,1992,7.2,91,11,8,37.5,10,0.97,0,1,0.6,0.6,527,0,0,1
Amin Younes,de GER,"MF,FW",Eint Frankfurt,26,1993,15.5,423,60,88,70.5,31,3.49,0.45,3,3.4,3.4,3156,3,1.7,23
Dan-Axel Zagadou,fr FRA,DF,Dortmund,21,1999,3.1,2,1,3,66.7,0,0,0,0,0,0,1376,0,0,0
Denis Zakaria,ch SUI,"MF,DF",M'Gladbach,23,1996,15.8,111,17,36,72.2,14,1.14,0.06,1,1.3,1.3,2764,1,1.1,9
Deyovaisio Zeefuik,nl NED,"DF,MF",Hertha BSC,22,1998,10.1,187,26,32,40.6,18,2.69,0,1,0,0,2299,0,1.7,14
Robin Zentner,de GER,GK,Mainz 05,25,1994,31,4,1,1,100,0,0.13,0,0,0.1,0.1,13230,0,0.3,1
Ron-Robert Zieler,de GER,GK,Köln,31,1989,0.6,0,0,0,,0,0,0,0,0,0,390,0,0,0
Joshua Zirkzee,nl NED,FW,Bayern Munich,19,2001,1,23,5,0,,0,1.96,0,0,0.4,0.4,15,0,0.2,1
Steven Zuber,ch SUI,"DF,MF",Eint Frankfurt,28,1991,6.5,194,24,24,58.3,15,3.38,0.62,0,0.8,0.8,1510,3,1.9,13
